"MULTILINESTRING ((-73.88578499825562 40.87581031164805, -73.88570393322713 40.875997685735754))",339,5
"MULTILINESTRING ((-73.98817256427257 40.71861212020235, -73.98754195493287 40.71983236177385))",14,5
"MULTILINESTRING ((-73.97945611991405 40.734656081677336, -73.97883498718988 40.73439109660321, -73.97844536115963 40.73422487777004))",23,5
"MULTILINESTRING ((-73.97118533898487 40.79528374711357, -73.97073269636819 40.79591917001086))",1646,5
"MULTILINESTRING ((-73.92461711615213 40.645662919573915, -73.92452874869166 40.64613808337504, -73.9244366107178 40.64665409171077))",209,5
"MULTILINESTRING ((-73.88013502812439 40.67917795596901, -73.87971702355814 40.67929497418793, -73.87925001961021 40.67942700508715))",10,5
"MULTILINESTRING ((-73.86827029158636 40.66849942595333, -73.86771363514941 40.66858584350889, -73.86756379328745 40.66860910544039, -73.86733978354184 40.66864387997897))",187,5
"MULTILINESTRING ((-73.952050777435 40.69279365954386, -73.94876761636851 40.693171207411105))",9,5
"MULTILINESTRING ((-74.07524175845788 40.634173094265925, -74.07521455299239 40.63360092194019))",129,5
"MULTILINESTRING ((-73.99783817562371 40.67017461152774, -73.99780256386853 40.6701177143709, -73.99734413284901 40.66938526163558, -73.99719891685633 40.669153240456666, -73.99716434350796 40.669098000473944, -73.99707824446138 40.6689604344737, -73.99685829259398 40.66860899520781))",46,5
"MULTILINESTRING ((-73.98975418241209 40.715552347838035, -73.99055802417838 40.71579423930585))",3,5
"MULTILINESTRING ((-73.9763968000298 40.719052062590485, -73.97613106400993 40.718998254308374, -73.97553825049575 40.71887821417319, -73.97549309328136 40.71886907000163))",41,5
"MULTILINESTRING ((-74.00298147054873 40.72330841417212, -74.00382928974068 40.72344931877649))",1,5
"MULTILINESTRING ((-73.92610787585068 40.83662500935229, -73.92491804049807 40.838360915789664))",8,5
"MULTILINESTRING ((-73.9416006768394 40.61930543636935, -73.94131889107403 40.61958783144467))",190,5
"MULTILINESTRING ((-73.96754584770538 40.64768291657277, -73.96733915130056 40.646565108446666))",1,5
"MULTILINESTRING ((-73.98297193816387 40.698373760758486, -73.98226501921017 40.698336713229395, -73.98214712447609 40.69833053468935, -73.9818959831644 40.6983173717074, -73.98178925960474 40.698311778054936, -73.9805441918389 40.69824651174959))",10,5
"MULTILINESTRING ((-73.97512641710378 40.79025437212872, -73.9754495728634 40.79039001847494, -73.97555138203455 40.79043275315264, -73.97572623335418 40.79050614683692, -73.97598958533735 40.790619420483765, -73.9764490362797 40.79081372527475))",37,5
"MULTILINESTRING ((-73.99326830002886 40.68782445132587, -73.99193985195993 40.68731407180388))",5,5
"MULTILINESTRING ((-74.09178257454677 40.59871923931011, -74.09192827877033 40.59850405080743))",6,5
"MULTILINESTRING ((-73.9145263079653 40.661722067854235, -73.91413057980454 40.66018143948989))",9,5
"MULTILINESTRING ((-74.22131562715371 40.55025307385649, -74.22333915269797 40.549020966298514))",7,5
"MULTILINESTRING ((-73.95790225172297 40.67085404648375, -73.95519562917808 40.67032889703751))",11,5
"MULTILINESTRING ((-73.87490793135562 40.65756734162406, -73.87440648427692 40.65686862775555, -73.8739624231648 40.65626037498238))",32,5
"MULTILINESTRING ((-73.99194435717763 40.62485518873646, -73.98948868222833 40.623369510201165))",16,5
"MULTILINESTRING ((-73.94449795622943 40.72561589515803, -73.94480642324129 40.72748493328704))",3,5
"MULTILINESTRING ((-73.96955129451301 40.626722133719326, -73.9690972446546 40.62433282513799))",12,5
"MULTILINESTRING ((-73.8604523380131 40.887803457024376, -73.85759301634278 40.88689245408243))",5,5
"MULTILINESTRING ((-74.03707918142358 40.613826740723496, -74.03705767225796 40.61378643919641, -74.03703568901449 40.613746286080996, -74.03701323477341 40.613706284726575, -74.03699031107597 40.61366643814785, -74.03696691858467 40.6136267505326, -74.03694306015912 40.61358722388995, -74.03691873778057 40.613547861904614, -74.03689395321008 40.6135086677588, -74.03686870842864 40.61346964480212, -74.03684300563661 40.61343079554653, -74.03681684615573 40.61339212384446, -74.03679023306591 40.61335363271013, -74.03676316768814 40.61331532465573, -74.03673565288271 40.613277203198166, -74.03670769041027 40.61323927084947, -74.03667928269186 40.61320153196427, -74.03665043214731 40.613163988551875, -74.03662114141669 40.613126643459076, -74.03659141160162 40.613089500370805, -74.0365612462213 40.61305256179856, -74.03653064725633 40.61301583075687, -74.03649961756662 40.612979310260066, -74.03646815957268 40.612943003825066, -74.03643627503457 40.6129069132938, -74.03640396725227 40.61287104251806, -74.03637123820575 40.61283539350721, -74.03633809163449 40.612799969945314, -74.0363045295186 40.61276477417683, -74.03627055405856 40.61272980955124, -74.03623616877324 40.612695078412536, -74.03620137674204 40.612660583439805, -74.03616617928601 40.61262632798284, -74.03613058080325 40.6125923142178, -74.0360945834937 40.61255854482404))",2,5
"MULTILINESTRING ((-73.8859511358709 40.85885045536455, -73.88513582675971 40.85841703327838))",1,5
"MULTILINESTRING ((-74.10340209895034 40.598601921299064, -74.10376051264974 40.5988872896096))",1,5
"MULTILINESTRING ((-73.91044215983052 40.70942884854267, -73.90922222987537 40.7106206379478))",2,5
"MULTILINESTRING ((-73.96694674122924 40.76088519754736, -73.9665248333484 40.761455023271786, -73.96658338422283 40.761550935073984))",4,5
"MULTILINESTRING ((-73.95716930019685 40.81440312395311, -73.95782821871711 40.815156048879))",5,5
"MULTILINESTRING ((-73.75698942375267 40.604045933405104, -73.7566509148799 40.60561902955384))",1,5
"MULTILINESTRING ((-73.95550170802724 40.7684847426298, -73.95325055309684 40.76753554928112))",4,5
"MULTILINESTRING ((-73.91975401196312 40.8681143785538, -73.91856036634894 40.868481851434915))",2,5
"MULTILINESTRING ((-73.89756958758667 40.82942300032832, -73.8971722103537 40.830368832895495))",4,5
"MULTILINESTRING ((-73.88782013204974 40.835390244495834, -73.88738193412162 40.836123359113245, -73.88734086304447 40.8361920701745, -73.88681886700851 40.8370653565969))",5,5
"MULTILINESTRING ((-73.92657799347872 40.705556338148796, -73.92608930093012 40.70567970116221))",4,5
"MULTILINESTRING ((-73.94491170954242 40.688370222098655, -73.94489497385764 40.68828685322853, -73.94476925905255 40.6876366000215))",2,5
"MULTILINESTRING ((-73.9504182051702 40.67074824342988, -73.94764755815235 40.67059698104175))",9,5
"MULTILINESTRING ((-73.8855539222013 40.87681481414069, -73.88543066441366 40.87706774422327, -73.88531544894688 40.87733346280318))",6,5
"MULTILINESTRING ((-73.83169662717097 40.82653496697637, -73.82770423454751 40.825310221281704, -73.82725059786803 40.82516476962531))",3,5
"MULTILINESTRING ((-73.92735541755181 40.67918251845195, -73.92656418171421 40.67914437504206))",4,5
