"MULTILINESTRING ((-73.96721710744724 40.605584151444155, -73.96706252750349 40.60476630725976))",772
"MULTILINESTRING ((-73.95727390725025 40.81688940949956, -73.95724502066844 40.81692913524462, -73.95717147995579 40.81703027174809, -73.95714636263895 40.81706481398751, -73.9568280875621 40.81750251757241))",11197
"MULTILINESTRING ((-73.98207931295666 40.77792979778847, -73.98211779037612 40.778013181164795))",8234
"MULTILINESTRING ((-73.86085019682781 40.83361353759731, -73.86079367089165 40.83371395621718, -73.8608244343125 40.833998666412306))",8
"MULTILINESTRING ((-73.95801685168107 40.70627693738117, -73.95759746029988 40.70656850432728))",23
"MULTILINESTRING ((-73.84329553216791 40.85829037562997, -73.84295382679528 40.85906263206396, -73.84300297148008 40.859501967524814))",2
"MULTILINESTRING ((-73.992468277406 40.71385682427078, -73.9912309650086 40.71396327241252, -73.99106334923606 40.71397769196855, -73.9901890214031 40.71405323355632))",186
"MULTILINESTRING ((-73.95286347946715 40.823304519830614, -73.95240222812434 40.823929958944916))",125
"MULTILINESTRING ((-74.16459854863797 40.54584951504349, -74.1652403158951 40.548730715877426))",13
"MULTILINESTRING ((-73.91781950543198 40.700976122847784, -73.91632483757034 40.70249866787092))",19
"MULTILINESTRING ((-73.85778032960678 40.66843750595367, -73.85740343425057 40.66692605945994))",15
"MULTILINESTRING ((-73.99378519586251 40.69587019427279, -73.99397810798843 40.69546295663449))",19
"MULTILINESTRING ((-74.00482608150678 40.70966068001085, -74.00425299951922 40.71016624020614))",29
"MULTILINESTRING ((-73.99320353409797 40.7223313560235, -73.99302423134853 40.722800465080624))",969
"MULTILINESTRING ((-73.9594341944597 40.647358127360555, -73.95814068511142 40.64750340358321))",138
"MULTILINESTRING ((-74.16233034395317 40.60594115624607, -74.16233666482565 40.60532870163147, -74.16234281760468 40.60516205988523, -74.16236997866562 40.60499586608456, -74.16241789364746 40.604832425107475, -74.16248578902591 40.60467395426727))",16
"MULTILINESTRING ((-73.92865990076356 40.851184308707175, -73.92937624638418 40.85148727858416))",21
"MULTILINESTRING ((-73.93639500822843 40.82546697805711, -73.93651645207581 40.82551802325824, -73.93658393805711 40.825546389065565, -73.93664361253552 40.825571471255834, -73.9367113391342 40.82559993763498, -73.9384582725751 40.82633417633394))",58
"MULTILINESTRING ((-73.93905001577555 40.79925591596268, -73.93682131077414 40.79830733896738))",47
"MULTILINESTRING ((-73.93530662176646 40.58603090384704, -73.93481887302184 40.5860513492302, -73.93433112463782 40.58607179254322))",254
"MULTILINESTRING ((-73.98269444034625 40.583159032624536, -73.98206051880206 40.583026621000414))",219
"MULTILINESTRING ((-73.98806303505053 40.58593792967185, -73.98791483038013 40.58576690053819))",8
"MULTILINESTRING ((-73.98143721957886 40.72363358929927, -73.98113038526105 40.723500321500445, -73.98108619543078 40.72348112825149, -73.98104708606398 40.72346414181386, -73.98101006591557 40.72344806286473, -73.98097001579914 40.723430668150584, -73.98093322158276 40.723414687049605, -73.98088901667424 40.72339548735622, -73.98085130989165 40.72337910970928, -73.98080801851556 40.7233603068399, -73.98076612942573 40.723342113148135, -73.98072680951958 40.72332503526413, -73.98068769967546 40.72330804853644, -73.98064905220738 40.72329126223509, -73.98060741661942 40.723273178258, -73.98057386412964 40.72325860514738, -73.98053381336041 40.723241209275734, -73.97972660621032 40.72289059666815))",46
"MULTILINESTRING ((-73.96621451220791 40.6148917669392, -73.96570836116646 40.61222727259533))",11
"MULTILINESTRING ((-73.91205433712666 40.624098328073195, -73.91144159209946 40.62451103450824))",2
"MULTILINESTRING ((-73.87475673638988 40.873163382810525, -73.87194937165307 40.87702535196417, -73.87178756063972 40.87784503981383))",80
"MULTILINESTRING ((-73.99325388237132 40.70241197136298, -73.99320771471295 40.70233993061551, -73.99295816936748 40.70220029611077, -73.99285598102371 40.70214311512717, -73.9927011740014 40.70205848156398, -73.99263469517074 40.70201055600656))",134
"MULTILINESTRING ((-74.03432262014285 40.622682209635734, -74.03389413818088 40.622581028767506, -74.03163907988211 40.62204849142787))",34
